"stock","terminal_catch_year","n_retros","fbar_rho","ssb_rho","ssb_intermediate_year","rec_rho","rec_intermediate_year","expert_opinion","modified","year"
"had.27.7b-k","2018","5","0.11300","-0.17200","No","0.00300","No","Past years assessment rho values have included the intermediate yeas as the terminal year.  This has meant that recruitment was assumed to be the geometric mean of the full time series observations of recruitment, which has not been the case - this is a crude means of estimating the future, hence the future estimated values notably dissimilar to the observed values.  Rho this year is calculated on data not including the intermediate year as the terminal year (ie assessment year -2 as the most recent of the 5 years included (last data year -1).This year only SSB showed any notable shift in the retrospective analysis, F & R estimates were similar to historic estimates.  SSB is falling though it shifted up. in comparison to proceeding years.  Cause of retrospective differences - minor changes in input data.  ASAP incorporates a 3 year running average of weights at age - this changes a couple of years data points every year.  Minor changes and updates in input data followoing data updates in intermediate year approximations to observations, recruitment, wanted, unwanted catch, unallocated catch.  Rebalnacing back a few years in the model to get the catch, surveys, age class weights to balance out across the age classes for each year and catch weights with relative and assumed recruitment.","5/24/2019 3:53 PM",2019
"cod.27.7e-k","2018","5","-0.39000","0.49000","No","0.27000","No","","5/24/2019 4:05 PM",2019
"whg.27.7b-ce-k","2018","5","0.00927","0.06136","No","0.88136","No","Historically poor selection of 0-group fish in the surveys has generally led to revised recruitment. However, in 2019 assessment 1-3yr old fish are  poorly represented in the survey index and particularly in the French commercial OTB discard data which has led to a significant downward revision in recruitment, therefore SSB and a resulting upward revision in Fbar. ","5/25/2019 11:09 PM",2019
"cod.27.6a","2018","5","0.11000","0.03000","Yes","0.19000","No","The TSA provides an estimate of R in the intermediate year (based on a Q1 survey) - including this in the Mohn's rho gives a value of 1.71.  The WG agreed not to use this estimate of recruitment & replaced with a short term GM.","5/27/2019 4:54 PM",2019
"pok.27.3a46","2018","5","-0.02400","0.02400","No","-0.02300","No","","6/4/2019 12:32 PM",2019
"had.27.46a20","2018","5","-0.06890","0.06730","Yes","1.06530","Yes","High rho value for recruitment is caused by the values used for the intermediate year.  This recruitment value comes from the assessment model prediction for the intermediate year this prediction has been overly optimistic in the last few years.  ","6/4/2019 12:49 PM",2019
"whg.27.47d","2018","5","-0.01687","0.01272","No","0.28087","No","Bias in recruitment mainly due to uncertainty in age 0 abundance, estimated using NS-IBTS quarter 3 survey index.","6/4/2019 1:04 PM",2019
"ple.27.420","2018","5","-0.12200","0.00650","No","0.12500","No","","6/4/2019 1:06 PM",2019
"wit.27.3a47d","2018","5","0.11820","-0.07600","No","0.10420","No","","6/4/2019 1:26 PM",2019
"hom.27.9a","2018","5","0.24500","-0.19500","No","-0.24400","No","Additional information: rho for recruitment was estimated without the terminal year because of the very high uncertainty in the terminal year estimate from the model","6/6/2019 5:07 PM",2019
"her.27.1-24a514a","2018","5","0.10193","-0.04597","Yes","0.59651","Yes","5 peels where made.n should then be 6 if this years assessment is to be included in n.","9/2/2019 4:11 PM",2019
"whb.27.1-91214","2019","5","0.05900","-0.01800","No","-0.13400","No","Preliminary catches for 2019 were used on the advice.","9/3/2019 12:53 PM",2019
"mon.27.78abd","2018","5","0.01060","0.13600","No","-0.10600","No","","10/28/2019 3:42 PM",2019
"meg.27.7b-k8abd","2018","5","-0.21900","0.30800","No","0.76000","No","","10/28/2019 3:58 PM",2019
"had.27.7a","2018","5","0.09000","0.18500","Yes","-0.28300","No","","11/7/2019 3:30 PM",2019
"whg.27.6a","2018","5","0.15858","-0.06036","Yes","0.29536","Yes","","11/14/2019 6:46 PM",2019
"mac.27.nea","2018","3","0.24100","-0.12700","Yes","-0.03500","No","assessment with short time series (5 years of data for the recaptures of RFID tags)","11/15/2019 3:27 PM",2019
"pil.27.8c9a","2018","5","0.10000","-0.06300","Yes","-0.11000","No","for each assessment used the stock annex was followed which means that mean weights at age were use for the intermediate year.","11/27/2019 9:53 AM",2019
"ane.27.8","2019","5","0.01200","-0.00100","Yes","-0.01600","Yes","Catch data for the intermediate year (=terminal year) were assumed to be zero, so that SSB and fishing mortality by semester for the intermediate year were not considered reliable, i.e. only estimates of recruitment in the intermediate year were analysed.","12/2/2019 2:56 PM",2019
"pok.27.5b","2018","5","0.06000","0.33000","No","0.50000","No","","1/13/2020 1:52 PM",2019
"cod.27.5b1","2018","5","-0.10000","0.02000","No","-0.08000","No","","1/13/2020 1:53 PM",2019
"had.27.5b","2018","5","0.09000","0.11000","No","0.03000","No","","1/13/2020 1:53 PM",2019
"cap.27.1-2","2018","5","-0.01000","0.08000","No","-0.20000","No","","1/13/2020 2:04 PM",2019
"sol.27.8ab","2018","5","0.05300","0.02700","No","0.19300","No","","1/13/2020 2:11 PM",2019
"hke.27.3a46-8abd","2018","5","0.00800","-0.00500","No","-0.01100","No","","1/13/2020 2:14 PM",2019
"hke.27.8c9a","2018","5","-0.30000","0.45000","No","-1.06000","No","","1/13/2020 2:15 PM",2019
"cod.27.1-2","2018","5","-0.01000","0.08000","No","-0.20000","No","","1/13/2020 2:19 PM",2019
"spr.27.3a4","2019","5","0.02000","0.35000","No","0.31000","No","","3/23/2020 8:16 AM",2020
"her.27.3a47d","2020","5","-12.29581","11.48475","No","2.99267","No","","3/23/2020 4:39 PM",2020
"her.27.20-24","2019","5","-0.17841","0.24722","No","0.01614","No","","5/6/2020 4:03 PM",2020
"her.27.nirs","2019","5","-0.15800","0.08800","Yes","-0.26200","No","","3/27/2020 7:38 PM",2020
"her.27.irls","2019","5","-0.35640","1.10440","No","2.79700","No","","3/31/2020 4:01 PM",2020
"cod.2127.1f14","2019","5","0.39500","-0.19100","No","-0.44200","No","No survey ws carried out in 2018Only German survey was performed in 2019 and no 1 or 2 years old was caught","4/19/2020 2:58 PM",2020
"cod.21.1","2019","5","0.03100","-0.23300","No","-0.58400","No","","4/19/2020 3:00 PM",2020
"reg.27.561214","2019","5","-0.05850","0.05680","No","-0.05880","No","","4/20/2020 4:43 PM",2020
"her.27.28","2019","5","0.23513","-0.17380","No","-0.16526","No","","4/28/2020 2:07 PM",2020
"ple.27.7d","2020","5","0.01700","-0.00030","No","-0.32400","No","","4/30/2020 5:18 PM",2020
"tur.27.4","2019","5","0.07570","-0.11260","No","-0.04960","No","","4/30/2020 6:22 PM",2020
"sol.27.7d","2019","5","-0.08200","0.08300","No","-0.04800","No","","4/30/2020 6:34 PM",2020
"ple.27.420","2019","5","-0.08900","-0.07300","No","0.12900","No","","5/1/2020 11:55 AM",2020
"sol.27.4","2019","5","0.14600","0.23400","No","-0.22200","No","A combination of a large recruitment event and changes in selectivity in the last year(s) affecting catchability estimates seem to be the cause.","5/1/2020 2:32 PM",2020
"wit.27.3a47d","2019","5","0.13920","-0.10250","No","-0.19330","No","Assessment available on stockassessment.org: ""wit.27.3a47d__2020""","5/4/2020 10:13 AM",2020
"pok.27.3a46","2019","5","-0.08293","0.05484","No","0.00889","No","Historically low recruitment in past couple years","5/4/2020 3:39 PM",2020
"her.27.6a7bc","2019","5","16.05944","-20.33791","No","24.19302","No","Multiple populations with varying dynamics being assessed as a single stock.","5/5/2020 10:23 PM",2020
"cod.27.47d20","2019","5","-0.12100","0.28600","Yes","0.52100","Yes","Apparent changes to survey catchability and discrepancies between stock trends implied by fishery dependent and independent sources.","5/6/2020 5:59 PM",2020
"meg.27.7b-k8abd","2019","5","-0.19140","0.27350","No","0.52390","No","","5/13/2020 11:02 AM",2020
"had.27.46a20","2019","5","0.11910","0.01420","Yes","0.80340","Yes","The high Mohn's rho value for recruitment is driven by the inclusion of the intermediate year recruitment estimate that comes from the stock assessment model to be used in the forecast.  Generally, this estimate overestimates the size of the intermediate year class except for year's when haddock has one of it's sporadic larger year classes where it vastly underestimates the size of the year class.","5/13/2020 11:30 AM",2020
"hke.27.3a46-8abd","2019","5","-0.17800","0.19600","No","0.09900","No","This year the retrospective problem has got worst with a minor data revision. Apparently the assessment model is suffering from some convergence problems that are platform dependent (linux or windows).","5/13/2020 12:20 PM",2020
"sol.27.8ab","2019","5","0.10800","-0.02000","No","0.22000","No","","5/13/2020 12:53 PM",2020
"mon.27.8c9a","2019","5","-0.10000","0.06000","Yes","0.57000","No","","5/13/2020 2:38 PM",2020
"mon.27.78abd","2019","5","-0.06400","0.18700","No","0.02400","No","We developed in ss3 a base case and some preliminary analysis indicate that time blocks and a decrease in growth with maturity could improve the mohns rho. The WD number 3 explaines the process and results.","5/13/2020 3:11 PM",2020
"bss.27.8ab","2019","5","0.02000","0.04300","No","0.28000","No","","5/13/2020 4:11 PM",2020
"hke.27.8c9a","2019","5","0.35000","-0.54000","No","-0.73000","No","Conflicting signals in abundance trends and uncertain mortality (or migration). See WGBIE 2020 (WD-5) for an indepth analysis.","5/13/2020 4:21 PM",2020
"ank.27.8c9a","2019","5","-0.01400","-0.00400","No","0.00000","Not Applicable","SPiCt assessment. Rho values estimated for F/Fmsy and B/Bmsy","5/13/2020 5:28 PM",2020
"ldb.27.8c9a","2019","5","-0.11000","0.15000","No","-0.13000","No","","5/13/2020 6:00 PM",2020
"meg.27.8c9a","2019","5","-0.34000","0.35000","No","0.17000","No","This is the first year the assessment model (XSA) converged. Maybe the differences with previous years can be due to this.","5/13/2020 6:04 PM",2020
"sol.27.7e","2019","5","0.09688","-0.06255","No","-0.11115","No","Especially high numbers of landings at age 3 in 2017 means that this year looks irregular compared to the others.","5/14/2020 4:15 PM",2020
"cod.27.6a","2019","5","0.08700","-0.06000","No","0.20300","Yes","","5/15/2020 11:51 AM",2020
"bss.27.4bc7ad-h","2019","5","0.14900","0.17900","No","0.93500","No","The high mohn's rho value in recruitment is due to the model using the geometric mean in the last couple of years.If recreational catches are re-estimated at every peel using a later version of SS (see below), the retrospective pattern for Fbar and SSB is still clear but mohn's rho gets closer to 0 compared to the present values. This may be a more appropriate way to run the retrospective analysis here. This is because recreational catches are unknown - what is ""known"" is the F multiplier which corresponds to the management measures in place compared to F2012 for the recreational fleet. So recreational catches have to be estimated iteratively at every new assessment at the moment. By peeling years of the latest assessment, the F multiplier will not match its expected value anymore, unless recreational catches were estimated again.What is described above would be corrected for if the latest version of SS was used for the assessment, with the F method = 2, and a precise F index on the recreational catches. In this new set up, with a fixed catch value in 2012 and large uncertainty on the catch of the other years, the recreational catches for these other years would be estimated inside the model, and hence at every peel. This set up gave mohn s rho values of 0.137 and -0.113 for SSB and Fbar.What might cause the remaining pattern is the gradual change in selectivity of the fishery due to management regulations that is not captured in the model in its current form?","5/15/2020 6:11 PM",2020
"sol.27.7a","2019","5","-0.05000","0.03300","No","-0.06800","No","","5/15/2020 2:49 PM",2020
"lez.27.4a6a","2019","5","0.08616","0.04585","No","0.00000","Not Applicable","","5/22/2020 2:43 PM",2020
"san.sa.1r","2019","5","-0.20000","0.67000","No","0.20000","No","","5/25/2020 12:41 PM",2020
"san.sa.2r","2019","5","-0.16000","0.57000","No","0.52000","No","","5/25/2020 12:42 PM",2020
"san.sa.3r","2019","5","0.03000","-0.06000","No","0.13000","No","","5/25/2020 12:44 PM",2020
"san.sa.4","2019","5","-0.05000","0.25000","No","0.19000","No","","5/25/2020 12:45 PM",2020
"had.27.7a","2019","5","0.02000","0.06000","Yes","-0.39000","No","","5/28/2020 10:12 AM",2020
"pil.27.8c9a","2019","5","0.05949","-0.11206","Yes","-0.24064","No","","5/29/2020 12:48 PM",2020
"sol.27.7fg","2019","5","-0.00422","0.03404","No","-0.02029","No","","5/29/2020 6:58 PM",2020
"whg.27.47d","2019","5","-0.07180","0.06410","No","0.13500","No","","6/2/2020 11:11 AM",2020
"ple.27.7a","2019","5","-0.08000","0.07400","No","0.00030","No","Used function ""mohn"" from R package ""stockassessment"".","6/3/2020 4:17 PM",2020
"hom.27.2a4a5b6a7a-ce-k8","2019","5","-0.15500","0.22000","No","0.41400","No","Some bias is caused by the inclusion of new data points such as the egg survey every 3 years.The model is run in SS and is also sensitive to variance adjustment factors (which are not re-estimated at every peel). I think there is less retrospective bias when running the assessment in SAM.","9/3/2020 11:51 AM",2020
"pok.27.5b","2019","5","-0.04000","0.32000","No","0.52000","No","","11/4/2020 1:12 PM",2020
"cod.27.5b1","2019","5","-0.14000","0.07000","Yes","1.78000","Yes","The huge retrospective bias in the recruitment is likely due to either food shortage or cannibalism or both. For more information, see the NWWG 2020 report.","11/18/2020 2:06 PM",2020
"had.27.5b","2019","5","-0.18000","0.14000","No","0.49000","No","","11/18/2020 1:20 PM",2020
"ane.27.8","2020","5","-0.10901","0.12356","Yes","-0.07303","Yes","Note that the value introduced in Fbar corresponds to the Mohn's rho of the Harvest Rate","12/3/2020 3:29 PM",2020
"pil.27.8abd","2019","5","-0.20300","0.21400","Yes","0.00900","Yes","","12/3/2020 4:21 PM",2020
"whb.27.1-91214","2019","5","0.13000","-0.07400","Yes","-0.06000","Yes","Preliminary catches for first two quarters of intermediate year (2020) used in model.","1/11/2021 3:46 PM",2020
"had.27.1-2","2019","5","0.00000","-0.03000","No","-0.04000","No","","1/12/2021 8:32 AM",2020
"her.27.1-24a514a","2019","5","-0.09400","-0.01200","Yes","0.00000","Not Applicable","","1/12/2021 8:33 AM",2020
"mac.27.nea","2019","5","0.19900","-0.05400","Yes","0.05800","Yes","6 peels used","1/12/2021 8:34 AM",2020
"reb.27.1-2","2019","5","0.01000","-0.01000","No","-0.38000","No","","1/12/2021 8:35 AM",2020
"reg.27.1-2","2019","5","0.56000","-0.29000","No","0.01000","No","","1/12/2021 8:36 AM",2020
"pok.27.1-2","2019","5","0.09000","-0.05000","No","-0.17000","No","","4/20/2021 9:14 AM",2020
"spr.27.3a4","2019","5","0.02000","0.35000","No","0.31000","No","","3/23/2020 8:16 AM",2021
"her.27.3a47d","2020","5","-12.29581","11.48475","No","2.99267","No","","3/23/2020 4:39 PM",2021
"her.27.20-24","2019","5","-0.17841","0.24722","No","0.01614","No","","5/6/2020 4:03 PM",2021
"her.27.nirs","2019","5","-0.15800","0.08800","Yes","-0.26200","No","","3/27/2020 7:38 PM",2021
"her.27.irls","2019","5","-0.35640","1.10440","No","2.79700","No","","3/31/2020 4:01 PM",2021
"cod.2127.1f14","2019","5","0.39500","-0.19100","No","-0.44200","No","No survey ws carried out in 2018Only German survey was performed in 2019 and no 1 or 2 years old was caught","4/19/2020 2:58 PM",2021
"cod.21.1","2019","5","0.03100","-0.23300","No","-0.58400","No","","4/19/2020 3:00 PM",2021
"reg.27.561214","2019","5","-0.05850","0.05680","No","-0.05880","No","","4/20/2020 4:43 PM",2021
"her.27.28","2019","5","0.23513","-0.17380","No","-0.16526","No","","4/28/2020 2:07 PM",2021
"ple.27.7d","2020","5","0.01700","-0.00030","No","-0.32400","No","","4/30/2020 5:18 PM",2021
"tur.27.4","2019","5","0.07570","-0.11260","No","-0.04960","No","","4/30/2020 6:22 PM",2021
"sol.27.7d","2019","5","-0.08200","0.08300","No","-0.04800","No","","4/30/2020 6:34 PM",2021
"ple.27.420","2019","5","-0.08900","-0.07300","No","0.12900","No","","5/1/2020 11:55 AM",2021
"sol.27.4","2019","5","0.14600","0.23400","No","-0.22200","No","A combination of a large recruitment event and changes in selectivity in the last year(s) affecting catchability estimates seem to be the cause.","5/1/2020 2:32 PM",2021
"wit.27.3a47d","2019","5","0.13920","-0.10250","No","-0.19330","No","Assessment available on stockassessment.org: ""wit.27.3a47d__2020""","5/4/2020 10:13 AM",2021
"pok.27.3a46","2019","5","-0.08293","0.05484","No","0.00889","No","Historically low recruitment in past couple years","5/4/2020 3:39 PM",2021
"her.27.6a7bc","2019","5","16.05944","-20.33791","No","24.19302","No","Multiple populations with varying dynamics being assessed as a single stock.","5/5/2020 10:23 PM",2021
"cod.27.47d20","2019","5","-0.12100","0.28600","Yes","0.52100","Yes","Apparent changes to survey catchability and discrepancies between stock trends implied by fishery dependent and independent sources.","5/6/2020 5:59 PM",2021
"meg.27.7b-k8abd","2019","5","-0.19140","0.27350","No","0.52390","No","","5/13/2020 11:02 AM",2021
"had.27.46a20","2019","5","0.11910","0.01420","Yes","0.80340","Yes","The high Mohn's rho value for recruitment is driven by the inclusion of the intermediate year recruitment estimate that comes from the stock assessment model to be used in the forecast.  Generally, this estimate overestimates the size of the intermediate year class except for year's when haddock has one of it's sporadic larger year classes where it vastly underestimates the size of the year class.","5/13/2020 11:30 AM",2021
"hke.27.3a46-8abd","2019","5","-0.17800","0.19600","No","0.09900","No","This year the retrospective problem has got worst with a minor data revision. Apparently the assessment model is suffering from some convergence problems that are platform dependent (linux or windows).","5/13/2020 12:20 PM",2021
"sol.27.8ab","2019","5","0.10800","-0.02000","No","0.22000","No","","5/13/2020 12:53 PM",2021
"mon.27.8c9a","2019","5","-0.10000","0.06000","Yes","0.57000","No","","5/13/2020 2:38 PM",2021
"mon.27.78abd","2019","5","-0.06400","0.18700","No","0.02400","No","We developed in ss3 a base case and some preliminary analysis indicate that time blocks and a decrease in growth with maturity could improve the mohns rho. The WD number 3 explaines the process and results.","5/13/2020 3:11 PM",2021
"bss.27.8ab","2019","5","0.02000","0.04300","No","0.28000","No","","5/13/2020 4:11 PM",2021
"hke.27.8c9a","2019","5","0.35000","-0.54000","No","-0.73000","No","Conflicting signals in abundance trends and uncertain mortality (or migration). See WGBIE 2020 (WD-5) for an indepth analysis.","5/13/2020 4:21 PM",2021
"ank.27.8c9a","2019","5","-0.01400","-0.00400","No","0.00000","Not Applicable","SPiCt assessment. Rho values estimated for F/Fmsy and B/Bmsy","5/13/2020 5:28 PM",2021
"ldb.27.8c9a","2019","5","-0.11000","0.15000","No","-0.13000","No","","5/13/2020 6:00 PM",2021
"meg.27.8c9a","2019","5","-0.34000","0.35000","No","0.17000","No","This is the first year the assessment model (XSA) converged. Maybe the differences with previous years can be due to this.","5/13/2020 6:04 PM",2021
"sol.27.7e","2019","5","0.09688","-0.06255","No","-0.11115","No","Especially high numbers of landings at age 3 in 2017 means that this year looks irregular compared to the others.","5/14/2020 4:15 PM",2021
"cod.27.6a","2019","5","0.08700","-0.06000","No","0.20300","Yes","","5/15/2020 11:51 AM",2021
"bss.27.4bc7ad-h","2019","5","0.14900","0.17900","No","0.93500","No","The high mohn's rho value in recruitment is due to the model using the geometric mean in the last couple of years.If recreational catches are re-estimated at every peel using a later version of SS (see below), the retrospective pattern for Fbar and SSB is still clear but mohn's rho gets closer to 0 compared to the present values. This may be a more appropriate way to run the retrospective analysis here. This is because recreational catches are unknown - what is ""known"" is the F multiplier which corresponds to the management measures in place compared to F2012 for the recreational fleet. So recreational catches have to be estimated iteratively at every new assessment at the moment. By peeling years of the latest assessment, the F multiplier will not match its expected value anymore, unless recreational catches were estimated again.What is described above would be corrected for if the latest version of SS was used for the assessment, with the F method = 2, and a precise F index on the recreational catches. In this new set up, with a fixed catch value in 2012 and large uncertainty on the catch of the other years, the recreational catches for these other years would be estimated inside the model, and hence at every peel. This set up gave mohn s rho values of 0.137 and -0.113 for SSB and Fbar.What might cause the remaining pattern is the gradual change in selectivity of the fishery due to management regulations that is not captured in the model in its current form?","5/15/2020 6:11 PM",2021
"sol.27.7a","2019","5","-0.05000","0.03300","No","-0.06800","No","","5/15/2020 2:49 PM",2021
"lez.27.4a6a","2019","5","0.08616","0.04585","No","0.00000","Not Applicable","","5/22/2020 2:43 PM",2021
"san.sa.1r","2019","5","-0.20000","0.67000","No","0.20000","No","","5/25/2020 12:41 PM",2021
"san.sa.2r","2019","5","-0.16000","0.57000","No","0.52000","No","","5/25/2020 12:42 PM",2021
"san.sa.3r","2019","5","0.03000","-0.06000","No","0.13000","No","","5/25/2020 12:44 PM",2021
"san.sa.4","2019","5","-0.05000","0.25000","No","0.19000","No","","5/25/2020 12:45 PM",2021
"had.27.7a","2019","5","0.02000","0.06000","Yes","-0.39000","No","","5/28/2020 10:12 AM",2021
"pil.27.8c9a","2019","5","0.05949","-0.11206","Yes","-0.24064","No","","5/29/2020 12:48 PM",2021
"sol.27.7fg","2019","5","-0.00422","0.03404","No","-0.02029","No","","5/29/2020 6:58 PM",2021
"whg.27.47d","2019","5","-0.07180","0.06410","No","0.13500","No","","6/2/2020 11:11 AM",2021
"ple.27.7a","2019","5","-0.08000","0.07400","No","0.00030","No","Used function ""mohn"" from R package ""stockassessment"".","6/3/2020 4:17 PM",2021
"hom.27.2a4a5b6a7a-ce-k8","2019","5","-0.15500","0.22000","No","0.41400","No","Some bias is caused by the inclusion of new data points such as the egg survey every 3 years.The model is run in SS and is also sensitive to variance adjustment factors (which are not re-estimated at every peel). I think there is less retrospective bias when running the assessment in SAM.","9/3/2020 11:51 AM",2021
"pok.27.5b","2019","5","-0.04000","0.32000","No","0.52000","No","","11/4/2020 1:12 PM",2021
"cod.27.5b1","2019","5","-0.14000","0.07000","Yes","1.78000","Yes","The huge retrospective bias in the recruitment is likely due to either food shortage or cannibalism or both. For more information, see the NWWG 2020 report.","11/18/2020 2:06 PM",2021
"had.27.5b","2019","5","-0.18000","0.14000","No","0.49000","No","","11/18/2020 1:20 PM",2021
"ane.27.8","2020","5","-0.10901","0.12356","Yes","-0.07303","Yes","Note that the value introduced in Fbar corresponds to the Mohn's rho of the Harvest Rate","12/3/2020 3:29 PM",2021
"pil.27.8abd","2019","5","-0.20300","0.21400","Yes","0.00900","Yes","","12/3/2020 4:21 PM",2021
"whb.27.1-91214","2019","5","0.13000","-0.07400","Yes","-0.06000","Yes","Preliminary catches for first two quarters of intermediate year (2020) used in model.","1/11/2021 3:46 PM",2021
"had.27.1-2","2019","5","0.00000","-0.03000","No","-0.04000","No","","1/12/2021 8:32 AM",2021
"her.27.1-24a514a","2019","5","-0.09400","-0.01200","Yes","0.00000","Not Applicable","","1/12/2021 8:33 AM",2021
"mac.27.nea","2019","5","0.19900","-0.05400","Yes","0.05800","Yes","6 peels used","1/12/2021 8:34 AM",2021
"reb.27.1-2","2019","5","0.01000","-0.01000","No","-0.38000","No","","1/12/2021 8:35 AM",2021
"reg.27.1-2","2019","5","0.56000","-0.29000","No","0.01000","No","","1/12/2021 8:36 AM",2021
"pok.27.1-2","2019","5","0.09000","-0.05000","No","-0.17000","No","","4/20/2021 9:14 AM",2021
